,"Baboon 8B:1",,,,,"Baboon 9B:1",,,,,"Baboon 12B:1",,,,,"Baboon 11B:1",,,,,"Baboon 13B:1",,,,,"Baboon 5B:1",,,,,"Baboon 7B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"Hexane, 2,2,4-trimethyl-","Class1","285","1.11","375763.275","915.224","Class1","285","1.12","310787.075","810.816","Class1","285","1.13","21126748.8","14119.944","Class1","285","1.115","1098239.19","1718.487","Class1","285","1.12","387233.083","992.295","Class1","285","1.12","1116345.44","1435.557","Class1","285","1.12","989891.851","1796.943",
"4-Octyne","Class1","290","1.27","589122.952","920.984","Class1","290","1.27","569121.654","946.043","Class1","285","1.28","1360971.27","1429.502","Class1","290","1.285","848008.398","1109.016","Class1","290","1.265","518107.813","887.951","Class1","290","1.28","778083.186","1216.467","Class1","290","1.28","501385.362","867.678",
"3-Hexanone","Class1","295","1.555","39811.504","220.895","Class1","295","1.56","47453.775","296.443","Class1","295","1.55","23570.326","92.014","Class1","295","1.56","90694.967","430.186","Class1","295","1.565","83028.791","508.519","Class1","295","1.555","182647.585","778.330","Class1","295","1.56","149990.204","667.002",
"2-Hexanone","Class1","300","1.58","3000605.75","4652.712","Class1","300","1.58","3633879.92","5192.514","Class1","300","1.58","68671140.3","113287.500","Class1","300","1.58","12344125.4","15287.484","Class1","300","1.58","4783174.63","10234.904","Class1","300","1.58","13890112.8","20118.453","Class1","300","1.585","2330460.43","3508.462",
"1-Butene, 3,4-dichloro-","Class1","300","1.665","294581.153","788.928","Class1","300","1.66","370958.617","1088.814","Class1","300","1.675","922826.983","1736.402","Class1","300","1.665","782660.983","2325.029","Class1","300","1.665","364383.652","1404.991","Class1","300","1.665","1374300.77","2830.579","Class1","300","1.67","58539.208","219.194",
"Cyclopentanone","Class1","305","1.97","241538.133","438.094","Class1","305","1.975","132517.366","299.420","Class1","300","2.01","5556977.31","8383.205","Class1","305","1.975","752985.760","685.067","Class1","305","1.975","272375.297","596.487","Class1","300","1.99","1384772.79","1665.764","Class1","305","1.98","255138.978","332.329",
"2,3-Nonadiene","Class1","305","1.32","12773787.1","14994.767","Class1","305","1.32","9221354.59","10052.123","Class1","305","1.335","12481549.7","9155.923","Class1","305","1.325","17831816.7","18968.334","Class1","305","1.32","5577909.26","15056.952","Class1","305","1.325","16439908.4","19652.553","Class1","305","1.335","21926125.2","30878.230",
"1,3,5-Trioxepane","Class1","305","1.88","15557886.8","40087.031","Class1","305","1.89","4705498.11","12374.289","Class1","300","1.93","171434868","69349.461","Class1","305","1.885","15927831.6","27621.928","Class1","305","1.89","2613599.85","7539.989","Class1","310","1.875","36894321.1","31271.410","Class1","305","1.885","17870917.3","38296.223",
"Octane","Class1","305","1.18","3533716.46","8128.688","Class1","305","1.18","2557466.20","7011.463","Class1","310","1.195","39092835.2","25465.150","Class1","305","1.18","8983688.93","16741.047","Class1","305","1.18","3001719.55","7430.680","Class1","305","1.18","8676821.74","14862.354","Class1","305","1.185","6175655.04","13467.078",
"Hexanal","Class1","315","1.585","19256700.4","11628.448","Class1","310","1.6","4961123.89","3626.604","Class1","310","1.615","55066899.6","14295.406","Class1","310","1.595","19208049.1","10607.217","Class1","315","1.585","6493533.51","7894.342","Class1","310","1.6","56270641.7","58796.145","Class1","315","1.585","3495893.63","2402.121",
