,"Baboon 6B:1",,,,,"Baboon 3B:1",,,,,"Baboon 10B:1",,,,,"Baboon 2B:1",,,,,"Baboon 4B:1",,,,,"Baboon 1B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"3,5-Octadiene, (Z,Z)-","Class1","335","1.335","1954572.65","1569.913","Class1","330","1.345","3244227.35","1102.176","Class1","335","1.335","2822357.24","2227.240","Class1","335","1.34","4766977.51","3681.297","Class1","335","1.34","6387621.58","6050.831","Class1","335","1.335","3657997.49","2970.888",
"47032","Class1","340","1.14","9064129.09","48879.691","Class1","340","1.16","57759897.6","102447.359","Class1","340","1.135","5697029.23","28047.834","Class1","340","1.14","8906859.73","38977.297","Class1","340","1.14","6585149.95","32707.596","Class1","340","1.14","5919641.29","29225.107",
"Hexane, 2,3,4-trimethyl-","Class1","340","1.17","2799253.50","4259.502","Class1","340","1.185","4431392.24","7335.328","Class1","340","1.165","3090920.47","4706.587","Class1","340","1.175","14647715.8","16533.449","Class1","340","1.17","6450541.99","9058.280","Class1","340","1.17","7537184.69","11708.487",
"3,5-Octadiene, (Z,Z)-","Class1","340","1.34","185348.877","500.122","Class1","340","1.365","470655.295","865.799","Class1","340","1.35","344845.170","1088.740","Class1","340","1.355","444721.040","1182.586","Class1","340","1.355","529899.895","1518.385","Class1","340","1.355","470302.428","1362.559",
"1,4-Dioxin, 2,3-dihydro-5,6-dimethyl-","Class1","340","1.685","87294.585","353.041","Class1","340","1.69","215507.256","1133.472","Class1","340","1.68","226755.199","1038.919","Class1","340","1.685","58872.227","364.663","Class1","340","1.685","33455.460","224.854","Class1","340","1.685","533191.051","2565.309",
"Cyclotrisiloxane, hexamethyl-","Class1","345","1.145","2529097.39","12976.228","Class1","340","1.26","17623431.9","61318.910","Class1","345","1.14","1130955.17","4934.883","Class1","345","1.145","3048530.01","13246.442","Class1","345","1.15","1771074.70","8189.533","Class1","345","1.145","1747850.00","8224.698",
"2,3-Dimethyl-3-heptene","Class1","345","1.245","14325353.0","13919.298","Class1","345","1.255","15697840.2","5588.327","Class1","345","1.24","11546342.7","17978.775","Class1","345","1.245","22748647.2","15171.015","Class1","345","1.25","13095521.8","24203.191","Class1","345","1.25","17324271.3","30231.822",
"1,3-Octadiene","Class1","345","1.37","728796.550","2936.607","Class1","345","1.39","2743933.93","4127.112","Class1","345","1.37","1676027.00","4606.902","Class1","345","1.375","2908259.37","6969.463","Class1","345","1.375","3168830.76","8271.222","Class1","345","1.375","1434831.97","5755.484",
"cresol (meta-)","Class1","355","1.71","1602189.05","5992.616","Class1","355","1.71","672537.923","1649.424","Class1","355","1.71","3139349.36","11055.563","Class1","355","1.71","2230728.48","6465.516","Class1","355","1.71","4094683.09","14444.438","Class1","355","1.715","4278243.52","15256.303",
"4-Bromoheptane","Class1","360","1.205","1181096.23","6162.630","Class1","360","1.21","4147184.55","8876.074","Class1","360","1.205","2764405.62","7043.001","Class1","360","1.205","3225842.52","8610.874","Class1","360","1.2","2220361.78","10726.143","Class1","360","1.205","4966087.09","14476.804",
"Benzene, chloro-","Class1","375","1.885","932064.999","3167.513","Class1","375","1.875","12863377.4","24827.742","Class1","375","1.89","949932.703","3024.908","Class1","375","1.885","3590147.03","8404.180","Class1","375","1.885","1771308.60","5169.075","Class1","375","1.89","1237915.06","3566.371",
"2-Hexanone, 4-methyl-","Class1","380","1.68","778747.965","947.827","Class1","380","1.675","4186991.99","3750.598","Class1","380","1.675","977086.802","1250.769","Class1","380","1.68","2473523.71","2010.782","Class1","380","1.68","2091588.07","2213.310","Class1","380","1.685","1712806.40","2040.065",
"Analyte 319","Class1","390","1.595","98063.971","345.646","Class1","390","1.6","314200.495","1003.903","Class1","390","1.6","103072.060","339.706","Class1","390","1.595","472135.891","1316.194","Class1","390","1.595","336730.935","1074.884","Class1","390","1.605","175018.350","548.397",
"1-Nonanol, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluoro-","Class1","395","1.04","59591.165","437.254","Class1","395","1.04","35719.385","188.206","Class1","390","1.04","20952.177","148.220","Class1","395","1.04","60701.647","413.983","Class1","395","1.04","45962.418","298.995","Class1","395","1.045","33383.934","252.752",
