,"Baboon 6B:1",,,,,"Baboon 3B:1",,,,,"Baboon 10B:1",,,,,"Baboon 2B:1",,,,,"Baboon 4B:1",,,,,"Baboon 1B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"Heptane, 2,2,4,6,6-pentamethyl-","Class1","880","1.085","731732.635","850.019","Class1","885","1.075","948175.951","716.213","Class1","885","1.075","1328729.61","1284.265","Class1","885","1.075","1464710.21","1743.915","Class1","885","1.075","2162263.26","1664.805","Class1","885","1.06","2791918.32","2042.358",
"Bicyclo[4.2.0]octa-1,3,5-triene, 7-isopropyl-","Class1","885","2.01","140120.245","587.465","Class1","885","2.01","3191177.39","8811.937","Class1","885","2.015","104190.866","410.476","Class1","890","1.985","470078.293","1258.097","Class1","885","2.015","110363.875","426.103","Class1","885","2.01","111160.727","496.540",
"1H-Indene, 2,3-dihydro-5-methyl-","Class1","885","2.17","666462.746","2122.865","Class1","890","2.14","18578214.4","43605.887","Class1","885","2.175","868653.146","3059.310","Class1","885","2.17","3099642.77","8926.814","Class1","885","2.175","762274.611","2476.412","Class1","885","2.175","748988.625","2765.718",
"Cyclohexane, 1,5-diethyl-2,3-dimethyl-","Class1","890","1.515","1540523.90","7437.960","Class1","895","1.51","4116616.98","8164.118","Class1","890","1.515","1238047.85","6872.438","Class1","890","1.52","5009347.81","12973.686","Class1","890","1.515","1764348.89","6588.275","Class1","890","1.515","4990328.26","11040.120",
"Analyte 1081","Class1","890","2.02","289238.071","2280.906","Class1","895","1.995","141625.706","1437.800","Class1","890","2.045","125281.800","645.353","Class1","890","2.03","210810.846","1253.422","Class1","890","2.04","136460.406","631.430","Class1","890","2.03","138124.976","919.370",
"Benzene, 1,3-dimethyl-5-(1-methylethyl)-","Class1","895","1.88","353081.313","1527.727","Class1","895","1.89","7236635.99","29466.104","Class1","890","1.9","191660.285","392.697","Class1","895","1.88","876719.998","4585.261","Class1","895","1.88","223877.332","1282.506","Class1","895","1.885","143566.951","848.740",
"Benzene, 1-methyl-4-(1-methylpropyl)-","Class1","895","1.855","870269.780","2745.138","Class1","895","1.86","10752923.2","31117.340","Class1","895","1.86","491642.456","1466.650","Class1","895","1.855","2265539.30","7346.388","Class1","895","1.855","495829.233","1821.320","Class1","895","1.86","421728.602","1469.298",
"Nonane, 3-methyl-5-propyl-","Class1","895","1.105","133089.224","840.383","Class1","895","1.105","107992.385","367.148","Class1","895","1.105","169197.345","1191.714","Class1","895","1.11","200447.292","1127.541","Class1","900","1.1","278958.381","1327.864","Class1","895","1.105","388385.472","2038.504",
"Benzaldehyde, 2-ethyl-","Class1","895","2.51","36559.204","116.573","Class1","900","2.455","107489.286","333.510","Class1","895","2.55","29203.803","94.930","Class1","895","2.515","70863.665","178.739","Class1","895","2.515","129760.288","329.857","Class1","895","2.525","13942.607","55.487",
"Bicyclo[2.2.1]heptan-2-one, 1,7,7-trimethyl-, (1S)-","Class1","895","2.28","27319.596","44.076","Class1","900","2.25","17188719.7","13329.888","Class1","895","2.285","97807.113","96.471","Class1","900","2.245","1508158.87","1108.247","Class1","900","2.245","540799.297","661.424","Class1","900","2.245","68539.025","69.451",
"Cyclohexane, 1-ethyl-2-propyl-","Class1","900","1.475","1122869.03","4514.454","Class1","900","1.465","2458787.66","5977.993","Class1","900","1.475","789267.970","4329.051","Class1","900","1.475","1427911.31","6773.893","Class1","900","1.475","882973.363","3171.040","Class1","900","1.475","1359823.63","5411.260",
"Benzene, 1-methyl-4-(1-methylpropyl)-","Class1","900","1.87","106897.582","376.805","Class1","900","1.865","9441162.37","23137.301","Class1","900","1.865","37689.176","128.724","Class1","900","1.875","269365.303","974.513","Class1","900","1.875","95309.192","357.622","Class1","900","1.88","63394.383","265.769",
"cis-Decalin, 2-syn-methyl-","Class1","900","1.73","63341.500","548.312","Class1","905","1.73","788283.075","2420.607","Class1","900","1.735","87371.830","739.962","Class1","900","1.735","221145.728","1146.014","Class1","900","1.73","146035.515","845.673","Class1","900","1.73","119302.070","1040.216",
"1H-Indene, 2,3-dihydro-5-methyl-","Class1","905","2.175","949502.479","3604.568","Class1","905","2.18","24473765.9","61874.621","Class1","905","2.18","1018375.12","3653.572","Class1","905","2.18","3997669.33","14804.208","Class1","905","2.175","1221522.42","5086.968","Class1","905","2.18","735277.713","3024.134",
"Benzene, 1-methyl-4-butyl","Class1","905","1.85","362993.651","826.969","Class1","910","1.845","9811802.32","27136.840","Class1","905","1.86","296825.954","952.376","Class1","910","1.835","669665.712","1510.927","Class1","910","1.84","237538.050","697.904","Class1","905","1.86","270671.149","791.324",
"Benzene, 1,2,3,4-tetramethyl-","Class1","905","2.06","1167816.55","2722.745","Class1","910","2.045","24199295.3","71065.063","Class1","905","2.065","1040460.78","3635.911","Class1","910","2.04","3207880.29","6436.019","Class1","910","2.04","1141368.34","2912.269","Class1","905","2.065","711734.408","2074.390",
"45361","Class1","910","1.215","12233182.7","105160.523","Class1","910","1.12","4847135.41","3818.719","Class1","910","1.15","9468348.80","92029.664","Class1","910","1.16","17753598.0","125953.258","Class1","910","1.15","8755961.62","91229.008","Class1","910","1.15","2526981.58","27750.418",
"Cyclohexane, 3-ethyl-5-methyl-1-propyl-","Class1","910","1.49","581996.372","2554.085","Class1","910","1.46","654730.983","4128.297","Class1","910","1.48","372557.787","1749.374","Class1","910","1.485","788856.341","4604.675","Class1","910","1.485","271338.328","1525.184","Class1","910","1.485","445746.211","2403.123",
"Cyclohexene, 1-pentyl-","Class1","910","1.72","67945.317","391.889","Class1","910","1.735","533180.533","3154.545","Class1","910","1.72","39725.144","356.520","Class1","910","1.72","104302.021","850.398","Class1","910","1.725","109994.796","527.222","Class1","910","1.72","66393.394","599.239",
"Benzene, 1,3-bis(1-methylethyl)-","Class1","910","1.79","324101.484","2686.574","Class1","910","1.805","1222632.25","8428.683","Class1","910","1.79","62671.333","494.197","Class1","910","1.795","532946.347","4186.051","Class1","910","1.795","21333.619","190.846","Class1","910","1.79","103103.813","924.185",
"Pentane, 3-ethyl-2,2-dimethyl-","Class1","915","1.12","242737.077","726.006","Class1","915","1.125","136201.991","447.858","Class1","910","1.13","561984.279","1038.763","Class1","915","1.125","648601.058","1486.728","Class1","915","1.125","1311506.98","1611.434","Class1","915","1.125","885551.817","1563.289",
"4-Phenylbut-3-ene-1-yne","Class1","915","2.515","59114.985","205.038","Class1","915","2.485","235525.075","554.441","Class1","915","2.535","108789.286","286.237","Class1","915","2.515","107204.628","338.709","Class1","915","2.53","144424.500","432.165","Class1","915","2.515","195564.236","650.489",
"Cyclodecene, 1-methyl-","Class1","915","1.74","63116.358","270.804","Class1","920","1.725","711669.918","3628.539","Class1","915","1.74","70347.578","452.629","Class1","920","1.725","159702.381","728.096","Class1","920","1.72","99319.221","534.576","Class1","915","1.745","100799.777","507.765",
"Benzene, 1-methyl-4-(1-methylpropyl)-","Class1","920","1.85","455132.588","2002.647","Class1","920","1.85","11351347.1","34398.340","Class1","925","1.88","414600.984","1764.603","Class1","920","1.855","1114812.32","3629.258","Class1","920","1.855","287694.160","1242.132","Class1","920","1.855","278476.943","961.836",
"Naphthalene, 1,2,3,4-tetrahydro-","Class1","925","2.245","429520.942","1336.584","Class1","925","2.25","11397012.4","34303.090","Class1","920","2.285","402718.839","906.390","Class1","925","2.25","1618039.74","4194.508","Class1","925","2.25","698091.904","2368.044","Class1","925","2.25","436091.872","1222.302",
"Naphthalene, decahydro-1,1-dimethyl-","Class1","925","1.575","216573.067","1788.038","Class1","925","1.585","1704000.86","8088.311","Class1","925","1.57","124900.671","1410.535","Class1","925","1.58","404978.798","2757.381","Class1","925","1.575","61527.195","610.022","Class1","925","1.575","119568.306","1173.140",
"1-Hexyl-1-nitrocyclohexane","Class1","925","1.43","327873.781","813.092","Class1","930","1.47","170614.193","1018.449","Class1","925","1.44","213166.165","512.421","Class1","925","1.42","48563.284","464.632","Class1","925","1.415","31706.473","317.335","Class1","925","1.42","215825.045","562.274",
"Analyte 1139","Class1","925","2.395","27598.629","152.084","Class1","930","2.36","443561.411","1260.218","Class1","925","2.405","43985.823","230.449","Class1","925","2.405","72641.043","337.587","Class1","925","2.405","38282.081","217.063","Class1","925","2.41","57107.090","315.156",
"2-Methyladamantane","Class1","930","1.91","109635.416","564.177","Class1","930","1.9","1242963.92","7657.567","Class1","925","1.91","137689.088","727.271","Class1","930","1.89","231970.083","1286.049","Class1","930","1.885","169142.965","1079.414","Class1","930","1.885","166928.546","837.157",
"3,4-Hexanedione, 2,2,5-trimethyl-","Class1","930","1.35","585263.330","4184.409","Class1","930","1.335","2671698.85","3769.050","Class1","930","1.33","846873.111","6234.169","Class1","930","1.335","2497244.02","3963.058","Class1","930","1.32","555753.904","3966.302","Class1","930","1.33","893481.656","4679.113",
"Benzene, 1-methyl-4-butyl","Class1","930","1.885","464428.553","1368.017","Class1","930","1.87","10242348.3","16203.620","Class1","930","1.87","371996.735","1052.458","Class1","930","1.865","696170.180","1864.225","Class1","930","1.865","333926.467","1038.471","Class1","930","1.865","296501.609","930.676",
"Benzene, 1,4-diethyl-2-methyl-","Class1","935","1.915","185894.593","766.553","Class1","935","1.91","3495170.94","17092.164","Class1","930","1.92","130879.642","392.910","Class1","935","1.9","338913.478","2123.167","Class1","935","1.895","75684.687","484.159","Class1","935","1.91","56152.069","365.945",
"Pentane, 3,3-diethyl-","Class1","940","1.19","168514.537","192.139","Class1","940","1.315","1386364.82","2113.467","Class1","940","1.315","454996.118","2840.597","Class1","935","1.18","110121.511","341.172","Class1","940","1.305","477459.779","1137.401","Class1","940","1.315","401740.664","2498.833",
"Cyclohexane, 1,5-diisopropyl-2,3-dimethyl-","Class1","940","1.44","192617.745","1854.633","Class1","940","1.44","396274.557","2510.536","Class1","940","1.435","209602.463","1863.321","Class1","940","1.435","430825.332","3148.724","Class1","940","1.415","140880.502","1242.827","Class1","940","1.43","333088.611","2369.551",
"1-Isopropyl-1,4,5-trimethylcyclohexane","Class1","940","1.455","364179.541","2076.038","Class1","940","1.465","1561718.50","2667.442","Class1","940","1.455","343121.885","2002.876","Class1","940","1.455","1193938.07","3040.851","Class1","940","1.435","211961.640","1084.240","Class1","940","1.455","518106.049","2136.270",
"Benzene, 1-methyl-4-(1-methylpropyl)-","Class1","940","1.905","816173.014","3032.656","Class1","945","1.885","14520161.9","35179.953","Class1","940","1.9","496004.882","1802.705","Class1","940","1.895","1849983.42","4385.649","Class1","940","1.875","380535.563","1179.356","Class1","940","1.9","362062.061","1270.918",
"1,2,3-Trimethylindene","Class1","945","2.015","25241.584","150.510","Class1","945","2.01","1384028.77","8169.007","Class1","940","2.02","51077.295","202.098","Class1","945","2.005","481911.085","2713.899","Class1","945","1.96","8496.348","79.449","Class1","945","2.01","11612.865","93.868",
"Cyclohexene, 1-pentyl-","Class1","945","1.765","46912.748","230.163","Class1","945","1.785","345350.556","2440.980","Class1","945","1.775","21535.098","204.756","Class1","945","1.77","80106.977","671.473","Class1","945","1.735","92238.964","424.041","Class1","945","1.77","72199.315","368.214",
"Benzaldehyde, 2,4-dimethyl-","Class1","945","2.41","50750.379","164.184","Class1","945","2.365","872179.031","2280.258","Class1","945","2.435","26198.820","75.258","Class1","945","2.415","95213.559","233.381","Class1","945","2.365","87698.700","259.758","Class1","945","2.455","15492.423","62.575",
"Analyte 1189","Class1","950","2.2","47344.074","120.084","Class1","950","2.18","858998.357","2006.533","Class1","945","2.22","96821.729","218.365","Class1","950","2.195","158174.481","316.084","Class1","950","2.14","128748.609","376.941","Class1","950","2.2","8738.575","37.986",
"Analyte 1184","Class1","950","1.435","860086.640","3117.338","Class1","950","1.43","1479822.85","5517.659","Class1","950","1.425","878483.634","2994.097","Class1","950","1.425","1019012.74","4638.505","Class1","950","1.395","283304.043","1344.257","Class1","950","1.425","600184.001","3133.392",
"Naphthalene, decahydro-2,6-dimethyl-","Class1","950","1.625","142819.016","994.154","Class1","950","1.625","2167123.27","15249.990","Class1","950","1.62","83939.490","444.860","Class1","950","1.62","375770.223","2399.855","Class1","950","1.58","110719.104","427.721","Class1","950","1.62","102440.049","608.183",
"Adamantane, 1,3-dimethyl-","Class1","950","1.795","79931.203","517.943","Class1","950","1.8","1132241.51","5510.551","Class1","950","1.79","104080.023","631.161","Class1","950","1.795","255538.569","1438.217","Class1","950","1.745","141125.780","890.625","Class1","950","1.79","136390.416","857.954",
"1H-Indene, 2,3-dihydro-1,6-dimethyl-","Class1","955","2.01","156322.487","892.663","Class1","955","2.005","4218703.54","19654.131","Class1","955","2.005","154426.500","786.696","Class1","955","2","544327.403","3114.543","Class1","955","1.95","88533.766","553.596","Class1","955","2.01","96241.855","592.372",
"1H-Indene, 1-methylene-","Class1","955","2.585","7270499.27","22692.158","Class1","960","2.565","139315724","140632.219","Class1","955","2.58","10567787.2","36548.207","Class1","955","2.575","17780233.4","54047.813","Class1","955","2.505","10223222.1","36939.223","Class1","955","2.585","7781124.62","25487.750",
"Benzene, 2,4-dimethyl-1-(1-methylethyl)-","Class1","960","1.95","111913.265","623.484","Class1","960","1.955","3195573.99","8057.614","Class1","960","1.95","100229.835","569.090","Class1","960","1.95","351440.287","1972.052","Class1","960","1.895","50991.409","309.246","Class1","960","1.955","60094.137","362.596",
"1H-Indene, 2,3-dihydro-1,6-dimethyl-","Class1","960","2.045","518659.485","1567.688","Class1","965","2.03","16577471.9","53339.590","Class1","960","2.045","427399.826","1310.266","Class1","960","2.045","1746882.18","5563.103","Class1","960","1.985","264779.741","849.233","Class1","960","2.045","273312.492","947.892",
"5-Ethyl-4-nonanone","Class1","965","1.645","692014.650","2677.991","Class1","965","1.655","1043259.11","5091.154","Class1","960","1.665","1085058.46","4714.826","Class1","965","1.65","1697642.54","5713.113","Class1","960","1.615","179688.100","686.430","Class1","960","1.665","249731.295","862.687",
"Cyclooctane, 1,4-dimethyl-, trans-","Class1","960","1.685","10335.182","22.917","Class1","965","1.435","1183110.68","4583.624","Class1","960","1.44","732284.366","1842.586","Class1","965","1.425","1529689.48","2732.155","Class1","965","1.37","1032186.92","963.809","Class1","965","1.42","297365.776","1707.009",
"Cyclohexane, 1-methyl-2-pentyl-","Class1","965","1.445","51095.734","494.539","Class1","965","1.48","303067.264","2226.380","Class1","965","1.415","3311.885","69.025","Class1","965","1.49","158355.375","1332.857","Class1","965","1.42","57411.969","450.611","Class1","965","1.48","63007.917","625.469",
"Cyclopentylcyclohexane","Class1","965","1.72","7398.584","66.412","Class1","965","1.725","155952.679","1134.009","Class1","965","1.72","4780.371","41.794","Class1","965","1.725","24456.889","222.872","Class1","965","1.665","8822.233","63.182","Class1","965","1.725","7743.650","73.819",
"1,2-Naphthalenedione","Class1","965","2.83","64219.374","163.814","Class1","965","2.81","157995.230","398.203","Class1","965","2.885","134271.606","317.683","Class1","965","2.85","196184.021","448.424","Class1","965","2.765","342427.282","807.443","Class1","965","2.895","76830.368","214.560",
"2-Hexanone, 4-methyl-","Class1","970","1.75","507311.358","1066.941","Class1","970","1.755","4166799.15","6123.562","Class1","970","1.77","617589.700","692.370","Class1","970","1.765","952495.078","1097.712","Class1","970","1.72","382877.738","373.983","Class1","970","1.78","313618.598","354.922",
"Benzene, 2,4-dimethyl-1-(1-methylpropyl)-","Class1","970","1.8","44784.252","308.185","Class1","970","1.805","1636673.40","8329.564","Class1","970","1.8","22287.518","146.066","Class1","970","1.8","130683.711","873.607","Class1","970","1.745","24550.064","167.226","Class1","970","1.805","20445.626","157.551",
"Benzene, 1-methyl-4-(1-methylpropyl)-","Class1","970","1.95","139483.721","650.868","Class1","970","1.95","4229106.34","15635.275","Class1","970","1.95","121891.318","555.854","Class1","970","1.95","329807.539","1432.769","Class1","970","1.89","102077.550","438.648","Class1","970","1.955","78161.628","374.971",
"1H-Indene, 1-ethyl-2,3-dihydro-","Class1","970","2.055","87634.863","347.539","Class1","970","2.03","3624103.86","9063.099","Class1","970","2.07","119281.125","478.624","Class1","970","2.06","258810.899","959.479","Class1","970","1.99","67557.239","300.867","Class1","970","2.06","124272.493","512.771",
"Cyclopenta[c]thiapyran","Class1","970","2.735","108729.898","526.644","Class1","970","2.715","5182343.18","19337.928","Class1","970","2.755","211523.636","845.358","Class1","970","2.74","239890.046","977.220","Class1","970","2.655","199489.097","920.209","Class1","970","2.76","164513.804","628.873",
"trans-2-Dodecen-1-ol, trifluoroacetate","Class1","970","1.69","16948.435","184.064","Class1","975","1.665","27119.389","33.223","Class1","970","1.69","50414.575","536.472","Class1","970","1.69","39696.607","450.618","Class1","970","1.63","38823.553","466.107","Class1","970","1.695","38428.280","476.682",
"Naphthalene, decahydro-1,6-dimethyl-","Class1","975","1.655","45626.134","221.619","Class1","980","1.67","1298431.97","6686.787","Class1","975","1.655","38600.128","175.405","Class1","975","1.66","193330.582","871.589","Class1","975","1.6","40202.739","221.342","Class1","975","1.655","41611.133","205.322",
"Benzene, 1-ethyl-2,4,5-trimethyl-","Class1","975","1.93","671174.750","2214.488","Class1","980","1.935","16822086.5","49881.988","Class1","975","1.935","647901.531","2484.084","Class1","975","1.935","2284630.92","7279.928","Class1","975","1.87","316710.973","1326.520","Class1","975","1.935","172170.965","1126.987",
"1H-Indene, 2,3-dihydro-1,6-dimethyl-","Class1","980","2.05","258542.731","846.596","Class1","980","2.065","14946224.4","41619.359","Class1","975","2.08","378083.671","1044.651","Class1","980","2.055","1457690.24","3099.911","Class1","975","2.01","218526.681","733.350","Class1","975","2.085","250528.178","500.883",
"decanal","Class1","985","1.735","156730.572","568.236","Class1","990","1.72","1644751.09","2802.002","Class1","985","1.74","160318.597","683.288","Class1","985","1.745","137365.638","368.849","Class1","985","1.695","84472.262","378.140","Class1","985","1.75","72539.258","238.798",
"1,4-Dimethyladamantane  #","Class1","990","1.825","36035.003","226.135","Class1","990","1.835","1283269.07","7306.080","Class1","990","1.825","59550.787","337.982","Class1","990","1.83","262760.583","1450.089","Class1","990","1.79","79284.066","492.608","Class1","990","1.825","68277.464","422.696",
"tridecane","Class1","995","1.325","25260625.3","17675.430","Class1","990","1.345","48031643.6","23938.635","Class1","995","1.325","28863502.5","17309.922","Class1","995","1.33","66574269.3","25163.383","Class1","995","1.33","23241924.3","14056.997","Class1","995","1.325","17198599.3","14514.955",
"Benzene, 1,4-diethyl-2-methyl-","Class1","995","1.935","193536.115","1205.537","Class1","995","1.94","5516752.72","28631.521","Class1","995","1.935","194533.155","1122.140","Class1","995","1.935","764998.645","4730.633","Class1","995","1.915","94462.668","362.077","Class1","995","1.94","84829.044","558.330",
"1,3,5-Trioxepane","Class1","1000","2.82","217767.107","321.840","Class1","1000","2.84","54063199.2","48454.617","Class1","1000","2.85","88178.470","117.534","Class1","995","2.855","5645783.94","6104.519","Class1","995","2.86","88234.194","101.919","Class1","1000","2.865","20155.082","37.755",
"Heptadecane, 2,6,10,14-tetramethyl-","Class1","1000","1.335","6967017.40","9366.544","Class1","1000","1.355","114212128","27848.822","Class1","1000","1.335","21852527.8","10962.268","Class1","1000","1.345","46410980.9","20539.992","Class1","1000","1.355","20242410.0","8135.859","Class1","1000","1.335","7740941.40","8859.778",
"Benzofuran, 4,7-dimethyl-","Class1","1000","2.21","108958.539","205.051","Class1","1005","2.17","535486.078","1919.575","Class1","1000","2.25","35869.178","131.762","Class1","1000","2.215","132187.878","447.989","Class1","1000","2.215","73712.398","352.547","Class1","1000","2.235","115881.398","303.841",
"Naphthalene, 1,2,3,4-tetrahydro-2-methyl-","Class1","1005","2.08","118549.922","464.209","Class1","1005","2.085","5641702.22","19677.689","Class1","1005","2.08","129343.639","398.920","Class1","1005","2.085","430194.152","1260.753","Class1","1000","2.1","115730.227","404.603","Class1","1005","2.09","85885.794","286.421",
"Benzene, 1-ethyl-2,4,5-trimethyl-","Class1","1005","1.975","74039.401","369.527","Class1","1010","1.965","2625114.83","9870.287","Class1","1005","1.975","78293.622","477.112","Class1","1005","1.98","261793.426","1233.632","Class1","1005","1.97","50631.756","345.338","Class1","1005","1.98","38467.550","270.957",
"Benzene, 1-(1-methylethenyl)-3-(1-methylethyl)-","Class1","1010","1.865","4049352.42","22920.541","Class1","1010","1.855","28452351.8","99428.469","Class1","1005","1.885","12383241.3","52005.191","Class1","1010","1.855","29494282.9","139307.625","Class1","1005","1.885","825475.447","6036.784","Class1","1010","1.87","3353537.85","18386.291",
"Cyclopentane, 2-ethylidene-1,1-dimethyl-","Class1","1010","1.51","291169.201","1015.180","Class1","1010","1.525","2640921.98","2494.359","Class1","1010","1.505","449994.713","1606.167","Class1","1010","1.51","699461.185","1556.014","Class1","1010","1.505","684497.238","1534.828","Class1","1010","1.515","525485.773","1212.692",
"Ethanedioic acid, dibutyl ester","Class1","1010","1.3","23414160.0","19481.018","Class1","1010","1.055","7308974.27","439.284","Class1","1015","1.305","9091109.75","12977.702","Class1","1010","1.06","24651713.8","2707.177","Class1","1010","1.3","2476036.78","9705.005","Class1","1015","1.305","8539582.74","12315.264",
"Benzene, 1,2,4-triethyl-","Class1","1010","1.81","345194.026","714.473","Class1","1015","1.8","6114791.11","8729.286","Class1","1010","1.805","381062.244","1853.746","Class1","1015","1.795","379324.077","1951.538","Class1","1010","1.805","254582.218","1558.133","Class1","1010","1.815","298572.770","1423.877",
"Naphthalene, 2-ethyldecahydro-","Class1","1015","1.625","90495.030","677.460","Class1","1015","1.64","3383071.33","15249.733","Class1","1015","1.63","66227.312","426.521","Class1","1015","1.63","276581.705","2032.187","Class1","1015","1.62","52976.617","278.282","Class1","1015","1.625","61175.659","396.141",
"Naphthalene, 1,2,3,4-tetrahydro-1-methyl-","Class1","1015","2.15","54361.095","254.946","Class1","1020","2.125","3594625.58","10373.566","Class1","1015","2.145","46433.658","252.330","Class1","1015","2.155","173467.939","919.329","Class1","1015","2.145","59081.961","350.212","Class1","1015","2.155","51993.962","238.132",
"Benzothiazole","Class1","1020","2.87","688394.712","1926.853","Class1","1020","2.875","15037375.7","36287.664","Class1","1020","2.95","529900.844","791.942","Class1","1020","2.91","1857987.27","3063.106","Class1","1015","2.955","1756638.53","2574.331","Class1","1020","2.915","1505454.74","2636.468",
"Analyte 1308","Class1","1025","1.12","3246.113","65.542","Class1","1025","1.14","32052.947","496.161","Class1","1025","1.13","7029.800","52.895","Class1","1025","1.135","6975.787","103.843","Class1","1020","1.14","7161.624","112.609","Class1","1025","1.135","4977.929","47.744",
"3-Isopropylbenzaldehyde","Class1","1030","1.925","84272.546","577.138","Class1","1030","1.945","2949591.21","15420.485","Class1","1030","1.94","85126.219","553.631","Class1","1030","1.95","310223.627","1908.257","Class1","1030","1.97","49277.908","273.485","Class1","1030","1.95","40494.921","275.865",
"Benzene, (1-ethyl-1-propenyl)-","Class1","1030","2.02","155206.865","531.564","Class1","1030","2.035","7253172.60","17831.873","Class1","1030","2.035","180262.715","622.246","Class1","1030","2.045","812410.299","2530.119","Class1","1030","2.075","94644.067","314.794","Class1","1030","2.045","94224.308","337.678",
"Cyclohexane, isothiocyanato-","Class1","1030","2.28","106431.750","655.355","Class1","1030","2.3","660332.216","3380.421","Class1","1030","2.305","201808.538","1052.424","Class1","1030","2.31","284147.918","1453.389","Class1","1030","2.34","202590.646","605.875","Class1","1030","2.31","198475.246","1029.383",
"5-Ethyl-4-tridecanone","Class1","1035","1.535","1065764.69","5218.882","Class1","1035","1.56","2029721.74","8880.302","Class1","1035","1.545","1969313.77","7896.026","Class1","1035","1.55","2965332.06","13409.765","Class1","1030","1.595","239694.729","1688.389","Class1","1035","1.55","434844.502","2166.259",
"Cyclopentane, butyl-","Class1","1035","1.42","560986.474","1764.880","Class1","1040","1.435","7233945.84","10571.969","Class1","1035","1.425","1047244.34","3232.171","Class1","1035","1.435","3354882.24","8497.015","Class1","1035","1.46","395447.304","918.142","Class1","1035","1.43","804582.764","2092.371",
"Nonanoic acid, pentafluorophenyl ester","Class1","1040","1.57","9908274.87","48212.027","Class1","1040","1.56","12434126.3","47100.449","Class1","1040","1.54","18775735.2","95242.406","Class1","1040","1.55","19292042.9","83689.977","Class1","1040","1.58","10993964.8","49959.703","Class1","1040","1.535","14676353.6","75863.094",
"Benzene, 1-(1-methylethenyl)-3-(1-methylethyl)-","Class1","1040","1.855","3334907.43","29026.688","Class1","1040","1.835","55216178.6","103704.461","Class1","1040","1.815","7905052.22","71388.531","Class1","1040","1.825","28274222.5","144589.719","Class1","1040","1.87","448860.792","3584.180","Class1","1040","1.82","2269724.61","21457.264",
"2,2,4,4-Tetramethyloctane","Class1","1045","1.33","5020443.97","6050.085","Class1","1045","1.27","67170962.6","28033.322","Class1","1045","1.31","3954545.92","4443.383","Class1","1045","1.3","60621221.0","21095.988","Class1","1040","1.32","35418339.4","22283.605","Class1","1045","1.3","7099370.67","3585.130",
"Benzene, (1,3-dimethylbutyl)-","Class1","1050","1.77","101015.751","499.664","Class1","1050","1.775","3519283.40","8778.364","Class1","1050","1.78","103743.250","488.233","Class1","1050","1.775","267048.899","1204.567","Class1","1050","1.765","40269.463","174.237","Class1","1050","1.785","49738.246","236.568",
"1H-Indene, 2,3-dihydro-4,7-dimethyl-","Class1","1050","2.025","227114.285","1370.856","Class1","1050","2.03","9899554.70","43329.734","Class1","1050","2.03","323820.794","1977.694","Class1","1050","2.03","1698069.48","9624.789","Class1","1050","2.02","118223.149","716.804","Class1","1050","2.03","125838.453","791.390",
"Nonanoic acid, pentafluorophenyl ester","Class1","1055","1.54","3759395.91","21953.484","Class1","1055","1.575","4475494.71","15324.292","Class1","1055","1.555","8503686.15","52593.711","Class1","1055","1.565","9342291.62","49141.754","Class1","1055","1.55","3241453.46","21989.805","Class1","1055","1.555","6702536.35","41687.660",
"Caprolactam","Class1","1055","3.055","138471.548","151.979","Class1","1060","3.195","2858069.13","2815.936","Class1","1060","3.055","342775.537","181.990","Class1","1055","3.105","518516.070","348.205","Class1","1055","3.09","364609.424","248.464","Class1","1055","3.1","395671.560","335.841",
"Benzene, hexyl-","Class1","1060","1.72","188848.797","679.513","Class1","1060","1.765","5281841.72","8794.365","Class1","1060","1.765","220488.779","841.468","Class1","1060","1.765","819476.006","2705.692","Class1","1060","1.76","168490.526","652.249","Class1","1060","1.76","242120.723","865.348",
"5-Hydroxymethyldihydrofuran-2-one","Class1","1060","2.42","291572.484","384.624","Class1","1065","2.42","1639350.26","1813.812","Class1","1065","2.495","70742.457","65.328","Class1","1065","2.475","105403.864","113.551","Class1","1060","2.5","249764.655","191.606","Class1","1065","2.465","107508.194","71.582",
"1H-Indene, 2,3-dihydro-4,7-dimethyl-","Class1","1065","1.995","68063.105","414.218","Class1","1075","2.04","3442076.97","10658.834","Class1","1070","2.01","399608.651","971.997","Class1","1070","2.025","1900246.02","5549.414","Class1","1065","2.045","67664.422","437.723","Class1","1070","1.995","144278.889","662.373",
"Analyte 1386","Class1","1070","1.515","1299894.99","8518.796","Class1","1070","1.59","1824423.23","8779.100","Class1","1070","1.545","2943954.38","19272.277","Class1","1070","1.565","3240361.53","20088.850","Class1","1070","1.56","1202197.67","7511.454","Class1","1070","1.525","2693004.21","17112.645",
"Naphthalene, 1,2,3,4-tetrahydro-6-methyl-","Class1","1070","2.03","96065.543","623.177","Class1","1070","2.105","4660191.38","15410.569","Class1","1070","2.075","79395.144","511.623","Class1","1070","2.095","363704.319","2249.313","Class1","1070","2.095","62063.159","408.828","Class1","1070","2.05","43999.286","307.537",
